sleeper_id,sleeper_name,yahoo_id,yahoo_name,espn_id,espn_name,nffc_id,nffc_name,cbs_id,cbs_name,fftoday_id,fftoday_name,nfl_id,nfl_name,fantasypros_id,fantasypros_name,evanalytics_name
5850,Josh Jacobs,31856.0,Josh Jacobs,4047365.0,Josh Jacobs,16998.0,Josh Jacobs,2257876,Josh Jacobs,16611.0,Josh Jacobs,2562377.0,Josh Jacobs,18269.0,Josh Jacobs,Josh Jacobs
5927,Terry McLaurin,31908.0,Terry McLaurin,3121422.0,Terry McLaurin,17062.0,Terry McLaurin,2139279,Terry McLaurin,16648.0,Terry McLaurin,2562489.0,Terry McLaurin,18466.0,Terry McLaurin,Terry McLaurin
4034,Christian McCaffrey,30121.0,Christian McCaffrey,3117251.0,Christian McCaffrey,15222.0,Christian McCaffrey,2136743,Christian McCaffrey,15950.0,Christian McCaffrey,2557997.0,Christian McCaffrey,16393.0,Christian McCaffrey,Christian McCaffrey
6813,Jonathan Taylor,32711.0,Jonathan Taylor,4242335.0,Jonathan Taylor,17962.0,Jonathan Taylor,2866395,Jonathan Taylor,17224.0,Jonathan Taylor,2564148.0,Jonathan Taylor,19217.0,Jonathan Taylor,Jonathan Taylor
2216,Mike Evans,27535.0,Mike Evans,16737.0,Mike Evans,12686.0,Mike Evans,1824909,Mike Evans,14172.0,Mike Evans,2543468.0,Mike Evans,12119.0,Mike Evans,Mike Evans
11566,Jayden Daniels,40896.0,Jayden Daniels,4426348.0,Jayden Daniels,21126.0,Jayden Daniels,3123337,Jayden Daniels,18946.0,Jayden Daniels,2572564.0,Jayden Daniels,22902.0,Jayden Daniels,Jayden Daniels
8155,Breece Hall,33991.0,Breece Hall,4427366.0,Breece Hall,19427.0,Breece Hall,3123469,Breece Hall,18087.0,Breece Hall,2568030.0,Breece Hall,22982.0,Breece Hall,Breece Hall
9224,Chase Brown,40196.0,Chase Brown,4362238.0,Chase Brown,20292.0,Chase Brown,2965160,Chase Brown,18488.0,Chase Brown,2569642.0,Chase Brown,25324.0,Chase Brown,Chase Brown
2133,Davante Adams,27581.0,Davante Adams,16800.0,Davante Adams,12729.0,Davante Adams,1893167,Davante Adams,14102.0,Davante Adams,2543495.0,Davante Adams,12123.0,Davante Adams,Davante Adams
11628,Marvin Harrison,40893.0,Marvin Harrison Jr.,4432708.0,Marvin Harrison Jr.,21121.0,Marvin Harrison,26701883,Marvin Harrison Jr.,18989.0,Marvin Harrison Jr.,2572411.0,Marvin Harrison Jr.,23064.0,Marvin Harrison Jr.,Marvin Harrison Jr.
4983,DJ Moore,30994.0,DJ Moore,3915416.0,DJ Moore,16134.0,DJ Moore,2179328,DJ Moore,16146.0,D.J. Moore,2560813.0,D.J. Moore,17265.0,DJ Moore,D.J. Moore
12527,Ashton Jeanty,41791.0,Ashton Jeanty,4890973.0,Ashton Jeanty,22055.0,Ashton Jeanty,,,,,,,,,
8150,Kyren Williams,34120.0,Kyren Williams,4430737.0,Kyren Williams,19450.0,Kyren Williams,3121836,Kyren Williams,18245.0,Kyren Williams,2567862.0,Kyren Williams,23059.0,Kyren Williams,Kyren Williams
5844,T.J. Hockenson,31840.0,T.J. Hockenson,4036133.0,T.J. Hockenson,17014.0,T.J. Hockenson,2251097,T.J. Hockenson,16600.0,T.J. Hockenson,2562378.0,T.J. Hockenson,18290.0,T.J. Hockenson,T.J. Hockenson
6904,Jalen Hurts,32723.0,Jalen Hurts,4040715.0,Jalen Hurts,17999.0,Jalen Hurts,2240246,Jalen Hurts,17116.0,Jalen Hurts,2564832.0,Jalen Hurts,19275.0,Jalen Hurts,Jalen Hurts
8138,James Cook,34019.0,James Cook,4379399.0,James Cook,19467.0,James Cook,2975698,James Cook,18046.0,James Cook,2567328.0,James Cook,22958.0,James Cook,James Cook
8151,Kenneth Walker,33996.0,Kenneth Walker III,4567048.0,Kenneth Walker III,19430.0,Kenneth Walker,3121372,Kenneth Walker III,18234.0,Kenneth Walker,2568282.0,Kenneth Walker III,23021.0,Kenneth Walker III,Kenneth Walker
9997,Zay Flowers,40039.0,Zay Flowers,4429615.0,Zay Flowers,20288.0,Zay Flowers,3127049,Zay Flowers,18516.0,Zay Flowers,2569573.0,Zay Flowers,22916.0,Zay Flowers,Zay Flowers
10229,Rashee Rice,40084.0,Rashee Rice,4428331.0,Rashee Rice,20287.0,Rashee Rice,3124978,Rashee Rice,18624.0,Rashee Rice,2569921.0,Rashee Rice,23113.0,Rashee Rice,Rashee Rice
5045,Courtland Sutton,31010.0,Courtland Sutton,3128429.0,Courtland Sutton,16066.0,Courtland Sutton,2218461,Courtland Sutton,16144.0,Courtland Sutton,2560888.0,Courtland Sutton,17253.0,Courtland Sutton,Courtland Sutton
8144,Chris Olave,33966.0,Chris Olave,4361370.0,Chris Olave,19432.0,Chris Olave,2963666,Chris Olave,18169.0,Chris Olave,2567973.0,Chris Olave,20111.0,Chris Olave,Chris Olave
4035,Alvin Kamara,30180.0,Alvin Kamara,3054850.0,Alvin Kamara,15293.0,Alvin Kamara,2082721,Alvin Kamara,15924.0,Alvin Kamara,2558019.0,Alvin Kamara,16421.0,Alvin Kamara,Alvin Kamara
6770,Joe Burrow,32671.0,Joe Burrow,3915511.0,Joe Burrow,17968.0,Joe Burrow,2179798,Joe Burrow,17028.0,Joe Burrow,2563722.0,Joe Burrow,19196.0,Joe Burrow,Joe Burrow
5846,DK Metcalf,31896.0,DK Metcalf,4047650.0,DK Metcalf,17002.0,DK Metcalf,2260185,DK Metcalf,16650.0,DK Metcalf,2562685.0,DK Metcalf,18219.0,DK Metcalf,D.K. Metcalf
7594,Chuba Hubbard,33514.0,Chuba Hubbard,4241416.0,Chuba Hubbard,18773.0,Chuba Hubbard,2865693,Chuba Hubbard,17603.0,Chuba Hubbard,2565899.0,Chuba Hubbard,19792.0,Chuba Hubbard,Chuba Hubbard
7526,Jaylen Waddle,33394.0,Jaylen Waddle,4372016.0,Jaylen Waddle,18781.0,Jaylen Waddle,2962110,Jaylen Waddle,17740.0,Jaylen Waddle,2566292.0,Jaylen Waddle,19790.0,Jaylen Waddle,Jaylen Waddle
4018,Joe Mixon,30161.0,Joe Mixon,3116385.0,Joe Mixon,15261.0,Joe Mixon,2131143,Joe Mixon,15961.0,Joe Mixon,2557976.0,Joe Mixon,16420.0,Joe Mixon,Joe Mixon
4217,George Kittle,30259.0,George Kittle,3040151.0,George Kittle,15360.0,George Kittle,2818265,George Kittle,15929.0,George Kittle,2558266.0,George Kittle,16499.0,George Kittle,George Kittle
4137,James Conner,30218.0,James Conner,3045147.0,James Conner,15306.0,James Conner,2071585,James Conner,15840.0,James Conner,2557978.0,James Conner,16447.0,James Conner,James Conner
7525,DeVonta Smith,33398.0,DeVonta Smith,4241478.0,DeVonta Smith,18778.0,DeVonta Smith,2866975,DeVonta Smith,17708.0,DeVonta Smith,2566409.0,DeVonta Smith,19222.0,DeVonta Smith,DeVonta Smith
4037,Chris Godwin,30197.0,Chris Godwin,3116165.0,Chris Godwin,15316.0,Chris Godwin,2818150,Chris Godwin,15881.0,Chris Godwin,2558105.0,Chris Godwin,16406.0,Chris Godwin,Chris Godwin
9756,Jordan Addison,40042.0,Jordan Addison,4429205.0,Jordan Addison,20274.0,Jordan Addison,3162290,Jordan Addison,18453.0,Jordan Addison,2570074.0,Jordan Addison,23107.0,Jordan Addison,Jordan Addison
8148,Jameson Williams,33967.0,Jameson Williams,4426388.0,Jameson Williams,19435.0,Jameson Williams,3125968,Jameson Williams,18242.0,Jameson Williams,2567565.0,Jameson Williams,23677.0,Jameson Williams,Jameson Williams
8137,George Pickens,34007.0,George Pickens,4426354.0,George Pickens,19437.0,George Pickens,3123212,George Pickens,18179.0,George Pickens,2568159.0,George Pickens,22963.0,George Pickens,George Pickens
5892,David Montgomery,31905.0,David Montgomery,4035538.0,David Montgomery,17016.0,David Montgomery,2261252,David Montgomery,16658.0,David Montgomery,2562502.0,David Montgomery,18239.0,David Montgomery,David Montgomery
4892,Baker Mayfield,30971.0,Baker Mayfield,3052587.0,Baker Mayfield,16069.0,Baker Mayfield,2080032,Baker Mayfield,16116.0,Baker Mayfield,2560800.0,Baker Mayfield,17237.0,Baker Mayfield,Baker Mayfield
12507,Omarion Hampton,41807.0,Omarion Hampton,4685382.0,Omarion Hampton,22069.0,Omarion Hampton,,,,,,,,,
4046,Patrick Mahomes,30123.0,Patrick Mahomes,3139477.0,Patrick Mahomes,15234.0,Patrick Mahomes,2142052,Patrick Mahomes,15946.0,Patrick Mahomes,2558125.0,Patrick Mahomes,16413.0,Patrick Mahomes II,Patrick Mahomes
6783,Jerry Jeudy,32685.0,Jerry Jeudy,4241463.0,Jerry Jeudy,17964.0,Jerry Jeudy,2741201,Jerry Jeudy,17127.0,Jerry Jeudy,2563896.0,Jerry Jeudy,19201.0,Jerry Jeudy,Jerry Jeudy
11624,Xavier Worthy,40877.0,Xavier Worthy,4683062.0,Xavier Worthy,21128.0,Xavier Worthy,26730787,Xavier Worthy,19154.0,Xavier Worthy,2572186.0,Xavier Worthy,23019.0,Xavier Worthy,Xavier Worthy
10859,Sam LaPorta,40064.0,Sam LaPorta,4430027.0,Sam LaPorta,20339.0,Sam LaPorta,3124197,Sam LaPorta,18573.0,Sam LaPorta,2569726.0,Sam LaPorta,22978.0,Sam LaPorta,Sam LaPorta
8205,Isiah Pacheco,34207.0,Isiah Pacheco,4361529.0,Isiah Pacheco,19486.0,Isiah Pacheco,2966551,Isiah Pacheco,18172.0,Isiah Pacheco,2567808.0,Isiah Pacheco,24333.0,Isiah Pacheco,Isiah Pacheco
11655,Tyrone Tracy,41048.0,Tyrone Tracy Jr.,4360516.0,Tyrone Tracy Jr.,21183.0,Tyrone Tracy,2963637,Tyrone Tracy Jr.,19125.0,Tyrone Tracy Jr.,2572351.0,Tyrone Tracy Jr.,22980.0,Tyrone Tracy Jr.,Tyrone Tracy Jr.
7528,Najee Harris,33412.0,Najee Harris,4241457.0,Najee Harris,18826.0,Najee Harris,2741200,Najee Harris,17592.0,Najee Harris,2566448.0,Najee Harris,19302.0,Najee Harris,Najee Harris
4199,Aaron Jones,30295.0,Aaron Jones,3042519.0,Aaron Jones,15392.0,Aaron Jones,2071937,Aaron Jones,15916.0,Aaron Jones,2558116.0,Aaron Jones,16673.0,Aaron Jones,Aaron Jones
5967,Tony Pollard,31960.0,Tony Pollard,3916148.0,Tony Pollard,17067.0,Tony Pollard,2184011,Tony Pollard,16676.0,Tony Pollard,2562699.0,Tony Pollard,18705.0,Tony Pollard,Tony Pollard
6803,Brandon Aiyuk,32695.0,Brandon Aiyuk,4360438.0,Brandon Aiyuk,17983.0,Brandon Aiyuk,2967489,Brandon Aiyuk,17002.0,Brandon Aiyuk,2565093.0,Brandon Aiyuk,19252.0,Brandon Aiyuk,Brandon Aiyuk
11620,Rome Odunze,40901.0,Rome Odunze,4431299.0,Rome Odunze,20335.0,Rome Odunze,3162979,Rome Odunze,19074.0,Rome Odunze,2571907.0,Rome Odunze,25411.0,Rome Odunze,Rome Odunze
8134,Khalil Shakir,34104.0,Khalil Shakir,4373678.0,Khalil Shakir,19462.0,Khalil Shakir,2969119,Khalil Shakir,18200.0,Khalil Shakir,2567334.0,Khalil Shakir,23748.0,Khalil Shakir,Khalil Shakir
3163,Jared Goff,29235.0,Jared Goff,3046779.0,Jared Goff,14748.0,Jared Goff,2061053,Jared Goff,15589.0,Jared Goff,2555334.0,Jared Goff,15501.0,Jared Goff,Jared Goff
8228,Jaylen Warren,34447.0,Jaylen Warren,4569987.0,Jaylen Warren,19833.0,Jaylen Warren,3126535,Jaylen Warren,18267.0,Jaylen Warren,2568493.0,Jaylen Warren,24209.0,Jaylen Warren,Jaylen Warren
4144,Jonnu Smith,30213.0,Jonnu Smith,3054212.0,Jonnu Smith,15319.0,Jonnu Smith,2081506,Jonnu Smith,16003.0,Jonnu Smith,2558207.0,Jonnu Smith,16460.0,Jonnu Smith,Jonnu Smith
5012,Mark Andrews,31056.0,Mark Andrews,3116365.0,Mark Andrews,16075.0,Mark Andrews,2131121,Mark Andrews,16268.0,Mark Andrews,2560957.0,Mark Andrews,17269.0,Mark Andrews,Mark Andrews
5849,Kyler Murray,31833.0,Kyler Murray,3917315.0,Kyler Murray,17009.0,Kyler Murray,2180829,Kyler Murray,16663.0,Kyler Murray,2562382.0,Kyler Murray,18600.0,Kyler Murray,Kyler Murray
6797,Justin Herbert,32676.0,Justin Herbert,4038941.0,Justin Herbert,17976.0,Justin Herbert,2221960,Justin Herbert,17102.0,Justin Herbert,2565045.0,Justin Herbert,18635.0,Justin Herbert,Justin Herbert
5947,Jakobi Meyers,32231.0,Jakobi Meyers,3916433.0,Jakobi Meyers,17061.0,Jakobi Meyers,2183835,Jakobi Meyers,16762.0,Jakobi Meyers,2562492.0,Jakobi Meyers,18598.0,Jakobi Meyers,Jakobi Meyers
8154,Brian Robinson,34054.0,Brian Robinson Jr.,4241474.0,Brian Robinson Jr.,19468.0,Brian Robinson,2741207,Brian Robinson Jr.,18194.0,Brian Robinson Jr.,2568348.0,Brian Robinson,20094.0,Brian Robinson Jr.,Brian Robinson
4981,Calvin Ridley,30996.0,Calvin Ridley,3925357.0,Calvin Ridley,16065.0,Calvin Ridley,2186328,Calvin Ridley,16129.0,Calvin Ridley,2560854.0,Calvin Ridley,17258.0,Calvin Ridley,Calvin Ridley
6790,D'Andre Swift,32705.0,D'Andre Swift,4259545.0,D'Andre Swift,17961.0,D'Andre Swift,2871710,D'Andre Swift,17220.0,D'Andre Swift,2563965.0,D'Andre Swift,19210.0,D'Andre Swift,D'Andre Swift
1466,Travis Kelce,26686.0,Travis Kelce,15847.0,Travis Kelce,11842.0,Travis Kelce,1725130,Travis Kelce,13217.0,Travis Kelce,2540258.0,Travis Kelce,11594.0,Travis Kelce,Travis Kelce
5872,Deebo Samuel,31868.0,Deebo Samuel Sr.,3126486.0,Deebo Samuel Sr.,17019.0,Deebo Samuel,2139735,Deebo Samuel,16688.0,Deebo Samuel,2562721.0,Deebo Samuel,18244.0,Deebo Samuel Sr.,Deebo Samuel
4033,David Njoku,30142.0,David Njoku,3123076.0,David Njoku,15227.0,David Njoku,2136474,David Njoku,15971.0,David Njoku,2557986.0,David Njoku,16399.0,David Njoku,David Njoku
4066,Evan Engram,30136.0,Evan Engram,3051876.0,Evan Engram,15238.0,Evan Engram,2079887,Evan Engram,15862.0,Evan Engram,2557858.0,Evan Engram,16411.0,Evan Engram,Evan Engram
7543,Travis Etienne,33413.0,Travis Etienne Jr.,4239996.0,Travis Etienne Jr.,18770.0,Travis Etienne,2809206,Travis Etienne,17561.0,Travis Etienne,2566157.0,Travis Etienne,19231.0,Travis Etienne Jr.,Travis Etienne
6804,Jordan Love,32696.0,Jordan Love,4036378.0,Jordan Love,17997.0,Jordan Love,2239997,Jordan Love,17146.0,Jordan Love,2564007.0,Jordan Love,19246.0,Jordan Love,Jordan Love
7611,Rhamondre Stevenson,33508.0,Rhamondre Stevenson,4569173.0,Rhamondre Stevenson,18791.0,Rhamondre Stevenson,3125832,Rhamondre Stevenson,17716.0,Rhamondre Stevenson,2566343.0,Rhamondre Stevenson,22726.0,Rhamondre Stevenson,Rhamondre Stevenson
10222,Jayden Reed,40063.0,Jayden Reed,4362249.0,Jayden Reed,20311.0,Jayden Reed,2967762,Jayden Reed,18622.0,Jayden Reed,2569765.0,Jayden Reed,23020.0,Jayden Reed,Jayden Reed
11563,Bo Nix,40875.0,Bo Nix,4426338.0,Bo Nix,20299.0,Bo Nix,3121193,Bo Nix,19071.0,Bo Nix,2572003.0,Bo Nix,22910.0,Bo Nix,Bo Nix
4039,Cooper Kupp,30182.0,Cooper Kupp,2977187.0,Cooper Kupp,15283.0,Cooper Kupp,2006951,Cooper Kupp,15932.0,Cooper Kupp,2557898.0,Cooper Kupp,16433.0,Cooper Kupp,Cooper Kupp
8183,Brock Purdy,34218.0,Brock Purdy,4361741.0,Brock Purdy,19742.0,Brock Purdy,2961306,Brock Purdy,18184.0,Brock Purdy,2568216.0,Brock Purdy,19797.0,Brock Purdy,Brock Purdy
9500,Josh Downs,40126.0,Josh Downs,4688813.0,Josh Downs,20283.0,Josh Downs,3162970,Josh Downs,18508.0,Josh Downs,2569861.0,Josh Downs,24706.0,Josh Downs,Josh Downs
6819,Michael Pittman,32704.0,Michael Pittman Jr.,4035687.0,Michael Pittman Jr.,17995.0,Michael Pittman,2240188,Michael Pittman,17183.0,Michael Pittman Jr.,2564136.0,Michael Pittman,19278.0,Michael Pittman Jr.,Michael Pittman
11560,Caleb Williams,40900.0,Caleb Williams,4431611.0,Caleb Williams,21124.0,Caleb Williams,26695775,Caleb Williams,19147.0,Caleb Williams,2571913.0,Caleb Williams,23084.0,Caleb Williams,Caleb Williams
